"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"17","2015-00004922",2015-01-26 13:59:00,"DWIGHT WAY / ELLSWORTH ST","T",NA,1,"OF2TCN","Other","F","2","Traffic","Citation","No Search",37.8645391,-122.2629878,"Not Arrested","No",13,"2"
"18","2015-00004925",2015-01-26 14:03:00,"2400 BLOCK TELEGRAPH AVE","1194",NA,1,"WM2RWN","White","M","2","Reasonable Suscipcion","Warning","No Search",37.8674642,-122.2594219,"Not Arrested","No",14,"2"
"19","2015-00004929",2015-01-26 14:14:00,"2500 BLOCK DWIGHT WAY","1194",NA,1,"WM4RWN","White","M","4","Reasonable Suscipcion","Warning","No Search",37.8651225,-122.2584225,"Not Arrested","No",14,"2"
"20","2015-00004930",2015-01-26 14:15:00,"ASHBY AVE / SHATTUCK AVE","T",NA,1,"OM4TCN","Other","M","4","Traffic","Citation","No Search",37.8552946,-122.2665022,"Not Arrested","No",14,"2"
"21","2015-00004931",2015-01-26 14:23:00,"DERBY ST / HILLEGASS AVE","1194",NA,1,"WM4RON","White","M","4","Reasonable Suscipcion","Other","No Search",37.8616548,-122.2559951,"Not Arrested","No",14,"2"
"22","2015-00004932",2015-01-26 14:30:00,"1400 BLOCK SHATTUCK AVE","1194",NA,1,"WM4ICN","White","M","4","Investigation","Citation","No Search",37.8817523,-122.2698365,"Not Arrested","No",14,"2"
"23","2015-00004935",2015-01-26 14:35:00,"ASHBY AVE / SAN PABLO AVE","T",NA,1,"OM3TCN","Other","M","3","Traffic","Citation","No Search",37.852157,-122.2866063,"Not Arrested","No",14,"2"
"24","2015-00004941",2015-01-26 14:59:00,"SHATTUCK AVE / KITTREDGE ST","1194",NA,1,"WM2RCN","White","M","2","Reasonable Suscipcion","Citation","No Search",37.8684974,-122.2677981,"Not Arrested","No",14,"2"
"25","2015-00004945",2015-01-26 15:12:00,"1800 BLOCK SAN PABLO AVE","1194",NA,1,"BM4RCN","Black","M","4","Reasonable Suscipcion","Citation","No Search",37.8712769,-122.2931212,"Not Arrested","No",15,"2"
"26","2015-00004964",2015-01-26 17:14:00,"2200 BLOCK SHATTUCK AVE","1194",NA,1,"WF2RWN","White","F","2","Reasonable Suscipcion","Warning","No Search",37.8692363,-122.2682686,"Not Arrested","No",17,"2"
"27","2015-00004966",2015-01-26 17:19:00,"2200 BLOCK SHATTUCK AVE","1194",NA,1,"BF4RCN","Black","F","4","Reasonable Suscipcion","Citation","No Search",37.8692363,-122.2682686,"Not Arrested","No",17,"2"
"28","2015-00004968",2015-01-26 17:22:00,"SHATTUCK AVE / KITTREDGE ST","T",NA,1,"WF4TCN","White","F","4","Traffic","Citation","No Search",37.8684974,-122.2677981,"Not Arrested","No",17,"2"
"29","2015-00004971",2015-01-26 17:34:00,"2000 BLOCK SHATTUCK AVE","1194",NA,1,"WM2RCN","White","M","2","Reasonable Suscipcion","Citation","No Search",37.871887,-122.268675,"Not Arrested","No",17,"2"
"30","2015-00004974",2015-01-26 17:49:00,"BANCROFT WAY / MILVIA ST","T",NA,1,"BM3TWN","Black","M","3","Traffic","Warning","No Search",37.8672755,-122.2702534,"Not Arrested","No",17,"2"
"31","2015-00004977",2015-01-26 18:02:00,"SHATTUCK AVE / KITTREDGE ST","1194",NA,1,"WM2RWS","White","M","2","Reasonable Suscipcion","Warning","Search",37.8684974,-122.2677981,"Not Arrested","No",18,"2"
"32","2015-00004982",2015-01-26 18:38:00,"SACRAMENTO ST / RUSSELL ST","1194",NA,1,"BM4RWS","Black","M","4","Reasonable Suscipcion","Warning","Search",37.8549016,-122.2794491,"Not Arrested","No",18,"2"
"33","2015-00004993",2015-01-26 19:20:00,"PRINCE ST / M L KING JR WAY","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8524898,-122.2709328,"Not Arrested","No",19,"2"
"34","2015-00004996",2015-01-26 19:38:00,"OREGON ST / M L KING JR WAY","1194",NA,1,"BM1RWS","Black","M","1","Reasonable Suscipcion","Warning","Search",37.8570557,-122.2713947,"Not Arrested","No",19,"2"
"35","2015-00005011",2015-01-26 21:43:00,"M L KING JR WAY / ALLSTON WAY","T",NA,1,"AM2TWN","Asian","M","2","Traffic","Warning","No Search",37.8687926,-122.2726916,"Not Arrested","No",21,"2"
"36","2015-00005028",2015-01-26 23:50:00,"SHATTUCK AVE / STUART ST","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.8585341,-122.2669003,"Not Arrested","No",23,"2"
"37","2015-00005029",2015-01-26 23:57:00,"PARKER ST / DANA ST","T",NA,1,"BM2TWN","Black","M","2","Traffic","Warning","No Search",37.8630469,-122.2603652,"Not Arrested","No",23,"2"
"38","2015-00005030",2015-01-27 00:24:00,"FULTON ST / DWIGHT WAY","1194B",NA,1,"WM3TWS","White","M","3","Traffic","Warning","Search",37.8642505,-122.2652527,"Not Arrested","No",0,"3"
"39","2015-00005032",2015-01-27 00:42:00,"DWIGHT WAY / TELEGRAPH AVE","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.8651365,-122.2584315,"Not Arrested","No",0,"3"
"40","2015-00005035",2015-01-27 01:03:00,"SAN PABLO AVE / STANFORD AVE","1196",NA,1,"BM2TWS","Black","M","2","Traffic","Warning","Search",37.8410232,-122.2830295,"Not Arrested","No",1,"3"
