Incident Number,Call Date/Time,Location,Incident Type,Dispositions
2015-00004825,01/26/2015 12:10:00 AM,SAN PABLO AVE / MARIN AVE,T,M
2015-00004829,01/26/2015 12:50:00 AM,SAN PABLO AVE / CHANNING WAY,T,M
2015-00004831,01/26/2015 01:03:00 AM,UNIVERSITY AVE / NINTH ST,T,M
2015-00004848,01/26/2015 07:16:00 AM,2000 BLOCK BERKELEY WAY,1194,BM4ICN
2015-00004849,01/26/2015 07:43:00 AM,1700 BLOCK SAN PABLO AVE,1194,BM4ICN
2015-00004865,01/26/2015 09:46:00 AM,M L KING JR WAY / UNIVERSITY AVE,T,OF4TCN
2015-00004870,01/26/2015 10:05:00 AM,M L KING JR WAY / UNIVERSITY AVE,T,OM4TCN
2015-00004876,01/26/2015 10:21:00 AM,UNIVERSITY AVE / M L KING JR WAY,T,OF2TCN
2015-00004882,01/26/2015 10:49:00 AM,HASTE ST / ELLSWORTH ST,T,OM2TCN
2015-00004887,01/26/2015 11:12:00 AM,ADELINE ST / OREGON ST,T,OM2TCN
2015-00004902,01/26/2015 12:35:00 PM,1900 BLOCK SAN PABLO AVE,1194,BM2RCN
2015-00004904,01/26/2015 12:51:00 PM,TELEGRAPH AVE / DURANT AVE,T,WF2TCN
2015-00004905,01/26/2015 12:53:00 PM,DELAWARE ST / ACTON ST,T,WM4TCN
2015-00004909,01/26/2015 01:04:00 PM,UNIVERSITY AVE / SHATTUCK AVE,1194,WM2RCN
2015-00004911,01/26/2015 01:16:00 PM,SHATTUCK AVE / UNIVERSITY AVE,1194,BM4RCN
2015-00004915,01/26/2015 01:30:00 PM,M L KING JR WAY / CARLETON ST,T,WM3TCN
2015-00004916,01/26/2015 01:30:00 PM,2100 BLOCK SHATTUCK AVE,1194,BF3RCN
2015-00004920,01/26/2015 01:48:00 PM,DWIGHT WAY / SHATTUCK AVE,T,OM2TCN
2015-00004921,01/26/2015 01:54:00 PM,2400 BLOCK TELEGRAPH AVE,1194,WM2RWN
2015-00004922,01/26/2015 01:59:00 PM,DWIGHT WAY / ELLSWORTH ST,T,OF2TCN
2015-00004925,01/26/2015 02:03:00 PM,2400 BLOCK TELEGRAPH AVE,1194,WM2RWN
2015-00004929,01/26/2015 02:14:00 PM,2500 BLOCK DWIGHT WAY,1194,WM4RWN
2015-00004930,01/26/2015 02:15:00 PM,ASHBY AVE / SHATTUCK AVE,T,OM4TCN
2015-00004931,01/26/2015 02:23:00 PM,DERBY ST / HILLEGASS AVE,1194,WM4RON
2015-00004932,01/26/2015 02:30:00 PM,1400 BLOCK SHATTUCK AVE,1194,WM4ICN
2015-00004935,01/26/2015 02:35:00 PM,ASHBY AVE / SAN PABLO AVE,T,OM3TCN
2015-00004938,01/26/2015 02:45:00 PM,SAN PABLO AVE / FOLGER AVE,1196,M
2015-00004941,01/26/2015 02:59:00 PM,SHATTUCK AVE / KITTREDGE ST,1194,WM2RCN
2015-00004945,01/26/2015 03:12:00 PM,1800 BLOCK SAN PABLO AVE,1194,BM4RCN
2015-00004964,01/26/2015 05:14:00 PM,2200 BLOCK SHATTUCK AVE,1194,WF2RWN
2015-00004966,01/26/2015 05:19:00 PM,2200 BLOCK SHATTUCK AVE,1194,BF4RCN
2015-00004968,01/26/2015 05:22:00 PM,SHATTUCK AVE / KITTREDGE ST,T,WF4TCN
2015-00004970,01/26/2015 05:32:00 PM,1500 BLOCK SPRUCE ST,1194,M
2015-00004971,01/26/2015 05:34:00 PM,2000 BLOCK SHATTUCK AVE,1194,WM2RCN
2015-00004974,01/26/2015 05:49:00 PM,BANCROFT WAY / MILVIA ST,T,BM3TWN
2015-00004977,01/26/2015 06:02:00 PM,SHATTUCK AVE / KITTREDGE ST,1194,WM2RWS
2015-00004982,01/26/2015 06:38:00 PM,SACRAMENTO ST / RUSSELL ST,1194,BM4RWS
2015-00004984,01/26/2015 06:51:00 PM,CHANNING WAY / BOWDITCH ST,1194,AR
2015-00004993,01/26/2015 07:20:00 PM,PRINCE ST / M L KING JR WAY,T,WM4TWN
2015-00004996,01/26/2015 07:38:00 PM,OREGON ST / M L KING JR WAY,1194,BM1RWS
2015-00005010,01/26/2015 09:29:00 PM,2400 BLOCK TELEGRAPH AVE,1194,M
2015-00005011,01/26/2015 09:43:00 PM,M L KING JR WAY / ALLSTON WAY,T,AM2TWN
2015-00005014,01/26/2015 10:17:00 PM,PIEDMONT AVE / DWIGHT WAY,T,M
2015-00005021,01/26/2015 11:04:00 PM,SHATTUCK AVE / DURANT AVE,T,M
2015-00005028,01/26/2015 11:50:00 PM,SHATTUCK AVE / STUART ST,T,OM2TWN
2015-00005029,01/26/2015 11:57:00 PM,PARKER ST / DANA ST,T,BM2TWN
2015-00005030,01/27/2015 12:24:00 AM,FULTON ST / DWIGHT WAY,1194B,WM3TWS
2015-00005032,01/27/2015 12:42:00 AM,DWIGHT WAY / TELEGRAPH AVE,T,OM2TWN
2015-00005035,01/27/2015 01:03:00 AM,SAN PABLO AVE / STANFORD AVE,1196,BM2TWS
2015-00005040,01/27/2015 02:01:00 AM,M L KING JR WAY / BLAKE ST,T,WM2RON
2015-00005053,01/27/2015 07:38:00 AM,RUSSELL ST / COLLEGE AVE,T,WM4TCN
2015-00005054,01/27/2015 07:45:00 AM,RUSSELL ST / COLLEGE AVE,T,WM4TCN
2015-00005056,01/27/2015 07:59:00 AM,RUSSELL ST / COLLEGE AVE,T,WF4TCN
2015-00005059,01/27/2015 08:09:00 AM,COLLEGE AVE / WOOLSEY ST,T,OM2TCN
2015-00005061,01/27/2015 08:14:00 AM,ASHBY AVE / HILLEGASS AVE,T,OF4TCN
2015-00005064,01/27/2015 08:19:00 AM,ASHBY AVE / COLLEGE AVE,T,WM3TCN
2015-00005066,01/27/2015 08:23:00 AM,HILLEGASS AVE / DERBY ST,T,OM3TCN
2015-00005067,01/27/2015 08:29:00 AM,COLLEGE AVE / RUSSELL ST,T,WF4TCN
2015-00005068,01/27/2015 08:34:00 AM,COLLEGE AVE / RUSSELL ST,T,OF4TCN
2015-00005069,01/27/2015 08:45:00 AM,COLLEGE AVE / RUSSELL ST,T,OM3TCN
